H	satellite.variable.file.write(x)	1 6 2 11	M19	2	1	0
.	satellite.variable.time	1 6 3		0	0	0
.	satellite.variable.time()	1 6 3 0		0	0	0
.	satellite.variable.number	1 6 4		0	0	0
.	satellite.variable.number()	1 6 4 0		0	0	0
H	satellite.variable.number.shift_left(n)	1 6 4 1	M11	2	1	0
H	satellite.variable.number.max(a, b)	1 6 4 2	M11	2	1	0
H	satellite.variable.number.min(a, b)	1 6 4 3	M11	2	1	0
H	satellite.variable.number.abs(a)	1 6 4 4	M11	1	1	0
H	satellite.variable.number.clamp(a, low, high)	1 6 4 5	M11	3	1	0
H	satellite.variable.number.to_string	1 6 4 6	M11	1	1	0
H	satellite.variable.number.floor	1 6 4 7	M11	1	1	0
H	satellite.variable.number.ceil	1 6 4 8	M11	1	1	0
H	satellite.variable.number.round	1 6 4 9	M11	1	1	0
H	satellite.variable.number.power(a, b)	1 6 4 10	M15	2	1	0
H	satellite.variable.number.shift_right(n)	1 6 4 11	M11	2	1	0
H	satellite.variable.number.modulus(a, b)	1 6 4 12	M11	2	1	0
H	satellite.variable.number.truncate(a)	1 6 4 13	M15	1	1	0
H	satellite.variable.number.sqrt(a)	1 6 4 14	M15	1	1	0
H	satellite.variable.number.digits	1 6 4 15	M11	1	1	0
.	satellite.variable.binary	1 6 5		0	0	0
.	satellite.variable.binary()	1 6 5 0		0	0	0
H	satellite.variable.binary.to_number	1 6 5 1	M19.5	1	1	0
H	satellite.variable.binary.width	1 6 5 2	M19.5	1	1	0
H	satellite.variable.binary.to_string	1 6 5 3	M19.5	1	1	0
H	satellite.variable.binary.as_number	1 6 5 4	M19.5	1	1	0
H	satellite.variable.binary.digits	1 6 5 5	M19.5	1	1	0
H	satellite.variable.binary.to_hex	1 6 5 6	M19.5	1	1	0
.	satellite.variable.bool	1 6 6		0	0	0
.	satellite.variable.date	1 6 7		0	0	0
.	satellite.variable.duration	1 6 8		0	0	0
.	satellite.variable.expression	1 6 9		0	0	0
.	satellite.variable.float	1 6 10		0	0	0
.	satellite.variable.hex	1 6 11		0	0	0
.	satellite.variable.hex()	1 6 11 0		0	0	0
H	satellite.variable.hex.to_number	1 6 11 1	M19.5	1	1	0
H	satellite.variable.hex.width	1 6 11 2	M19.5	1	1	0
H	satellite.variable.hex.to_string	1 6 11 3	M19.5	1	1	0
H	satellite.variable.hex.digits	1 6 11 4	M19.5	1	1	0
H	satellite.variable.hex.to_binary	1 6 11 5	M19.5	1	1	0
