1 6 2 4	satellite.variable.file.write_line(s)	1 6 2 4
1 6 2 5	satellite.variable.file.read_all	1 6 2 5
1 6 2 6	satellite.variable.file.close	1 6 2 6
1 6 2 7	satellite.variable.file.exists	1 6 2 7
1 6 2 8	satellite.variable.file.ok	1 6 2 8
1 6 2 9	satellite.variable.file.path	1 6 2 9
1 6 2 10	satellite.variable.file.error	1 6 2 10
1 6 2 11	satellite.variable.file.write(x)	1 6 2 11
1 6 3	satellite.variable.time	1 6 3
1 6 3 0	satellite.variable.time()	1 6 3 0
1 6 4	satellite.variable.number	1 6 4
1 6 4 0	satellite.variable.number()	1 6 4 0
1 6 4 1	satellite.variable.number.shift_left(n)	1 6 4 1
1 6 4 2	satellite.variable.number.max(a, b)	1 6 4 2
1 6 4 3	satellite.variable.number.min(a, b)	1 6 4 3
1 6 4 4	satellite.variable.number.abs(a)	1 6 4 4
1 6 4 5	satellite.variable.number.clamp(a, low, high)	1 6 4 5
1 6 4 6	satellite.variable.number.to_string	1 6 4 6
1 6 4 7	satellite.variable.number.floor	1 6 4 7
1 6 4 8	satellite.variable.number.ceil	1 6 4 8
1 6 4 9	satellite.variable.number.round	1 6 4 9
1 6 4 10	satellite.variable.number.power(a, b)	1 6 4 10
1 6 4 11	satellite.variable.number.shift_right(n)	1 6 4 11
1 6 4 12	satellite.variable.number.modulus(a, b)	1 6 4 12
1 6 4 13	satellite.variable.number.truncate(a)	1 6 4 13
1 6 4 14	satellite.variable.number.sqrt(a)	1 6 4 14
1 6 4 15	satellite.variable.number.digits	1 6 4 15
1 6 4 16	satellite.variable.number(x)	1 6 4 16
1 6 4 17	satellite.variable.number.string	1 6 4 17
1 6 4 18	satellite.variable.number.number	1 6 4 18
1 6 4 19	satellite.variable.number.binary	1 6 4 19
1 6 4 20	satellite.variable.number.hex	1 6 4 20
1 6 5	satellite.variable.binary	1 6 5
1 6 5 0	satellite.variable.binary()	1 6 5 0
1 6 5 1	satellite.variable.binary.to_number	1 6 5 1
1 6 5 2	satellite.variable.binary.width	1 6 5 2
1 6 5 3	satellite.variable.binary.to_string	1 6 5 3
1 6 5 4	satellite.variable.binary.as_number	1 6 5 4
1 6 5 5	satellite.variable.binary.digits	1 6 5 5
1 6 5 6	satellite.variable.binary.to_hex	1 6 5 6
1 6 5 7	satellite.variable.binary(x)	1 6 5 7
1 6 5 8	satellite.variable.binary.string	1 6 5 8
1 6 5 9	satellite.variable.binary.number	1 6 5 9
1 6 5 10	satellite.variable.binary.binary	1 6 5 10
1 6 5 11	satellite.variable.binary.hex	1 6 5 11
1 6 5 12	satellite.variable.binary.clear	1 6 5 12
1 6 6	satellite.variable.bool	1 6 6
1 6 7	satellite.variable.date	1 6 7
1 6 8	satellite.variable.duration	1 6 8
1 6 9	satellite.variable.expression	1 6 9
1 6 10	satellite.variable.float	1 6 10
1 6 10 0	satellite.variable.float()	1 6 10 0
1 6 10 1	satellite.variable.float.to_string	1 6 10 1
1 6 10 2	satellite.variable.float.string	1 6 10 2
1 6 10 3	satellite.variable.float.number	1 6 10 3
1 6 10 4	satellite.variable.float.binary	1 6 10 4
1 6 10 5	satellite.variable.float.hex	1 6 10 5
1 6 11	satellite.variable.hex	1 6 11
1 6 11 0	satellite.variable.hex()	1 6 11 0
1 6 11 1	satellite.variable.hex.to_number	1 6 11 1
1 6 11 2	satellite.variable.hex.width	1 6 11 2
1 6 11 3	satellite.variable.hex.to_string	1 6 11 3
1 6 11 4	satellite.variable.hex.digits	1 6 11 4
1 6 11 5	satellite.variable.hex.to_binary	1 6 11 5
1 6 11 6	satellite.variable.hex(x)	1 6 11 6
1 6 11 7	satellite.variable.hex.string	1 6 11 7
1 6 11 8	satellite.variable.hex.number	1 6 11 8
1 6 11 9	satellite.variable.hex.binary	1 6 11 9
1 6 11 10	satellite.variable.hex.hex	1 6 11 10
1 6 12	satellite.variable.network	1 6 12
1 6 13	satellite.variable.thread	1 6 13
1 6 13 0	satellite.variable.thread()	1 6 13 0
1 6 13 1	satellite.variable.thread.start()	1 6 13 1
1 6 13 2	satellite.variable.thread.join()	1 6 13 2
1 6 14	satellite.variable.variant	1 6 14
1 6 14 0	satellite.variable.variant()	1 6 14 0
1 6 14 1	satellite.variable.variant.holding	1 6 14 1
1 6 14 2	satellite.variable.variant.holds(x)	1 6 14 2
1 6 14 3	satellite.variable.variant.held	1 6 14 3
1 6 14 4	satellite.variable.variant.clear	1 6 14 4
1 6 15	satellite.variable.capsule	1 6 16
1 7	satellite.random	1 7
1 7 0	satellite.random()	1 7 0
1 7 1	satellite.random.fast()	1 7 1
1 7 2	satellite.random.normal()	1 7 2
1 7 3	satellite.random.ultra()	1 7 3
1 7 4	satellite.random.fast(digits)	1 7 4
